player_name,preferred_foot,date_of_birth,appearances_sub,goals,assists,xa,xg,touches_in_opposition_box,crosses_completed,pass_accuracy,long_pass_accuracy,minutes_played,dribbles_completed,duels_won,aerial_duels_won,total_tackles,interceptions,blocks,red_cards,yellow_cards,fouls,offsides,all_stats_on_page
Daniel Adu-Adjei,Right,21/06/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '21/06/2005', 'Red Cards': '0', 'Yellow Cards': '0'}"
Emmanuel Agbadou,Right,17/06/1997,16,1,0,0.32,0.85,7,1 (1),996 (86%),147 (52%),"1,411",12 (83%),70,26,30,12,13,0,3,7,1,"{'Nationality': 'Cote d’Ivoire', 'Preferred Foot': 'Right', 'Date of Birth': '17/06/1997', 'Appearances': '16', 'Goals': '1', 'XG': '0.85', 'XA': '0.32', 'Touches in the Opposition Box': '7', 'Free Kicks Scored (Scored)': '1 (1)', 'Passes (Completed %)': '996 (86%)', 'Long Passes (Completed %)': '147 (52%)', 'Minutes Played': '1,411', 'Dribbles (Completed %)': '12 (83%)', 'Duels Won': '70', 'Aerial Duels Won': '26', 'Total Tackles': '30', 'Interceptions': '12', 'Blocks': '13', 'Red Cards': '0', 'Yellow Cards': '3', 'Fouls': '7', 'Offsides': '1'}"
Asher Agbinone,Right,28/09/2005,2 (2),0,0,0,0.01,0,0,2,0,4,2,0,0,2,0,0,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '28/09/2005', 'Appearances (Sub)': '2 (2)', 'XG': '0.02', 'XA': '0.01', 'Passes': '2', 'Minutes Played': '4', 'Duels Won': '2', 'Total Tackles': '2', 'Red Cards': '0', 'Yellow Cards': '0'}"
Nayef Aguerd,Left,30/03/1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Morocco', 'Preferred Foot': 'Left', 'Date of Birth': '30/03/1996'}"
Brandon Aguilera,Left,28/06/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Costa Rica', 'Preferred Foot': 'Left', 'Date of Birth': '28/06/2003'}"
Gassan Ahadme,Right,17/11/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Morocco', 'Preferred Foot': 'Right', 'Date of Birth': '17/11/2000'}"
Naouirou Ahamada,Right,29/03/2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'France', 'Preferred Foot': 'Right', 'Date of Birth': '29/03/2002', 'Red Cards': '0', 'Yellow Cards': '0'}"
Ola Aina,Right,08/10/1996,35,2,1,2.22,0.64,22,59 (22%),"1,027 (80%)",89 (31%),"3,003",60 (55%),136,13,55,33,12,0,5,23,2,"{'Nationality': 'Nigeria', 'Preferred Foot': 'Right', 'Date of Birth': '08/10/1996', 'Appearances': '35', 'Goals': '2', 'Assists': '1', 'XG': '0.64', 'XA': '2.22', 'Touches in the Opposition Box': '22', 'Crosses (Completed %)': '59 (22%)', 'Passes (Completed %)': '1,027 (80%)', 'Long Passes (Completed %)': '89 (31%)', 'Minutes Played': '3,003', 'Dribbles (Completed %)': '60 (55%)', 'Duels Won': '136', 'Aerial Duels Won': '13', 'Total Tackles': '55', 'Interceptions': '33', 'Blocks': '12', 'Red Cards': '0', 'Yellow Cards': '5', 'Fouls': '23', 'Offsides': '2'}"
Damola Ajayi,Right,27/12/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '27/12/2005', 'Red Cards': '0', 'Yellow Cards': '0'}"
Kristoffer Ajer,Right,17/04/1998,24 (7),0,0,7,0.5,39,14 (29%),558 (78%),45 (44%),"1,441",15 (47%),66,28,26,12,4,0,5,13,2,"{'Nationality': 'Norway', 'Preferred Foot': 'Right', 'Date of Birth': '17/04/1998', 'Appearances (Sub)': '24 (7)', 'XG': '0.96', 'XA': '0.5', 'Shots On Target Inside the Box': '7', 'Touches in the Opposition Box': '39', 'Crosses (Completed %)': '14 (29%)', 'Passes (Completed %)': '558 (78%)', 'Long Passes (Completed %)': '45 (44%)', 'Minutes Played': '1,441', 'Dribbles (Completed %)': '15 (47%)', 'Duels Won': '66', 'Aerial Duels Won': '28', 'Total Tackles': '26', 'Interceptions': '12', 'Blocks': '4', 'Red Cards': '0', 'Yellow Cards': '5', 'Fouls': '13', 'Offsides': '2'}"
Romeo Akachukwu,Right,28/07/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Ireland', 'Preferred Foot': 'Right', 'Date of Birth': '28/07/2006'}"
Manuel Akanji,Right,19/07/1995,26 (3),0,0,6,1.28,19,11 (27%),"1,722 (94%)",84 (68%),"2,014",60,31,0,19,9,8,0,3,17,0,"{'Nationality': 'Switzerland', 'Preferred Foot': 'Right', 'Date of Birth': '19/07/1995', 'Appearances (Sub)': '26 (3)', 'XG': '1.55', 'XA': '1.28', 'Shots On Target Outside the Box': '6', 'Touches in the Opposition Box': '19', 'Crosses (Completed %)': '11 (27%)', 'Passes (Completed %)': '1,722 (94%)', 'Long Passes (Completed %)': '84 (68%)', 'Minutes Played': '2,014', 'Duels Won': '60', 'Aerial Duels Won': '31', 'Total Tackles': '19', 'Interceptions': '9', 'Blocks': '8', 'Red Cards': '0', 'Yellow Cards': '3', 'Fouls': '17'}"
Yunus Akgün,Left,07/07/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Turkey', 'Preferred Foot': 'Left', 'Date of Birth': '07/07/2000'}"
Matai Akinmboni,Left,17/10/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'United States', 'Preferred Foot': 'Left', 'Date of Birth': '17/10/2006', 'Red Cards': '0', 'Yellow Cards': '0'}"
Nathan Aké,Left,18/02/1995,10 (2),0,0,5,0.17,0,0,532 (94%),26 (46%),682,23,13,0,9,3,2,0,0,2,0,"{'Nationality': 'Netherlands', 'Preferred Foot': 'Left', 'Date of Birth': '18/02/1995', 'Appearances (Sub)': '10 (2)', 'XG': '0.22', 'XA': '0.17', 'Touches in the Opposition Box': '5', 'Passes (Completed %)': '532 (94%)', 'Long Passes (Completed %)': '26 (46%)', 'Minutes Played': '682', 'Duels Won': '23', 'Aerial Duels Won': '13', 'Total Tackles': '9', 'Interceptions': '3', 'Blocks': '2', 'Red Cards': '0', 'Yellow Cards': '0', 'Fouls': '2'}"
Ali Al-Hamadi,Right,01/03/2002,11 (11),0,0,11,0.05,0,0,30 (83%),0,125,7 (57%),13,5,1,0,0,0,3,8,1,"{'Nationality': 'Iraq', 'Preferred Foot': 'Right', 'Date of Birth': '01/03/2002', 'Appearances (Sub)': '11 (11)', 'XG': '0.35', 'XA': '0.05', 'Touches in the Opposition Box': '11', 'Passes (Completed %)': '30 (83%)', 'Minutes Played': '125', 'Dribbles (Completed %)': '7 (57%)', 'Duels Won': '13', 'Aerial Duels Won': '5', 'Total Tackles': '1', 'Red Cards': '0', 'Yellow Cards': '3', 'Fouls': '8', 'Offsides': '1'}"
Marc Albrighton,18/11/1989,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Date of Birth': '18/11/1989'}"
Carlos Alcaraz,Right,30/11/2002,16 (9),2,3,0.03,0.07,22,8 (50%),271 (83%),24 (67%),770,18 (50%),47,15,11,6,2,0,4,14,1,"{'Nationality': 'Argentina', 'Preferred Foot': 'Right', 'Date of Birth': '30/11/2002', 'Appearances (Sub)': '16 (9)', 'Goals': '2', 'Assists': '3', 'XG': '0.07', 'XA': '0.03', 'Touches in the Opposition Box': '22', 'Crosses (Completed %)': '8 (50%)', 'Passes (Completed %)': '271 (83%)', 'Long Passes (Completed %)': '24 (67%)', 'Corners Taken': '4', 'Minutes Played': '770', 'Dribbles (Completed %)': '18 (50%)', 'Duels Won': '47', 'Aerial Duels Won': '15', 'Total Tackles': '11', 'Interceptions': '6', 'Blocks': '2', 'Red Cards': '0', 'Yellow Cards': '4', 'Fouls': '14', 'Offsides': '1'}"
Thiago Alcântara,Right,11/04/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Spain', 'Preferred Foot': 'Right', 'Date of Birth': '11/04/1991'}"
Trent Alexander-Arnold,Right,07/10/1998,33 (5),3,6,7.37,1.88,9,14,"1,616 (78%)",299 (42%),"2,377",34 (50%),101,3,72,31,9,0,5,11,1,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '07/10/1998', 'Appearances (Sub)': '33 (5)', 'Goals': '3', 'Assists': '6', 'XG': '1.88', 'XA': '7.37', 'Shots On Target Inside the Box': '9', 'Shots On Target Outside the Box': '14', 'Touches in the Opposition Box': '50', 'Hit Woodwork': '3', 'Free Kicks Scored (Scored)': '3 (3)', 'Crosses (Completed %)': '93 (25%)', 'Passes (Completed %)': '1,616 (78%)', 'Long Passes (Completed %)': '299 (42%)', 'Corners Taken': '55', 'Minutes Played': '2,377', 'Dribbles (Completed %)': '34 (50%)', 'Duels Won': '101', 'Aerial Duels Won': '3', 'Total Tackles': '72', 'Interceptions': '31', 'Blocks': '9', 'Red Cards': '0', 'Yellow Cards': '5', 'Fouls': '11', 'Offsides': '1'}"
Farid Alfa-Ruprecht,Right,28/03/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Germany', 'Preferred Foot': 'Right', 'Date of Birth': '28/03/2006'}"
Sonny Aljofree,19/12/2004,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Date of Birth': '19/12/2004'}"
Max Alleyne,Both,21/07/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Both', 'Date of Birth': '21/07/2005', 'Red Cards': '0', 'Yellow Cards': '0'}"
Dele Alli,11/04/1996,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Date of Birth': '11/04/1996'}"
Miguel Almirón,Both,10/02/1994,9 (8),0,0,3,0.2,9,0,64 (83%),2 (50%),151,2 (50%),7,0,3,0,0,0,0,1,2,"{'Nationality': 'Paraguay', 'Preferred Foot': 'Both', 'Date of Birth': '10/02/1994', 'Appearances (Sub)': '9 (8)', 'XG': '0.52', 'XA': '0.2', 'Shots On Target Inside the Box': '3', 'Touches in the Opposition Box': '9', 'Passes (Completed %)': '64 (83%)', 'Long Passes (Completed %)': '2 (50%)', 'Minutes Played': '151', 'Dribbles (Completed %)': '2 (50%)', 'Duels Won': '7', 'Total Tackles': '3', 'Red Cards': '0', 'Yellow Cards': '0', 'Fouls': '1', 'Offsides': '2'}"
Sone Aluko,19/02/1989,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Nigeria', 'Date of Birth': '19/02/1989'}"
Olabade Aluko,Right,30/11/2006,1 (1),0,0,0,0,0,0,5 (60%),0,1,1,0,0,1,0,0,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '30/11/2006', 'Appearances (Sub)': '1 (1)', 'XA': '0', 'Passes (Completed %)': '5 (60%)', 'Minutes Played': '1', 'Duels Won': '1', 'Total Tackles': '1', 'Red Cards': '0', 'Yellow Cards': '0'}"
Will Alves,Right,04/05/2005,1 (1),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '04/05/2005', 'Appearances (Sub)': '1 (1)', 'XA': '0', 'Passes': '1', 'Minutes Played': '1', 'Red Cards': '0', 'Yellow Cards': '0'}"
Carlos Vinícius,Left,25/03/1995,3 (3),0,0,0,2,0,0,3 (33%),0,13,3,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Brazil', 'Preferred Foot': 'Left', 'Date of Birth': '25/03/1995', 'Appearances (Sub)': '3 (3)', 'XG': '0.04', 'Touches in the Opposition Box': '2', 'Passes (Completed %)': '3 (33%)', 'Minutes Played': '13', 'Duels Won': '3', 'Red Cards': '0', 'Yellow Cards': '0'}"
Cédric Soares,Right,31/08/1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Portugal', 'Preferred Foot': 'Right', 'Date of Birth': '31/08/1991'}"
Steven Alzate,Right,08/09/1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Colombia', 'Preferred Foot': 'Right', 'Date of Birth': '08/09/1998'}"
Harry Amass,Left,16/03/2007,5 (1),0,0,5,0.07,0,0,143 (87%),0,346,7 (43%),20,7,6,2,1,0,0,2,1,"{'Nationality': 'England', 'Preferred Foot': 'Left', 'Date of Birth': '16/03/2007', 'Appearances (Sub)': '5 (1)', 'XG': '0.07', 'XA': '0.07', 'Touches in the Opposition Box': '5', 'Passes (Completed %)': '143 (87%)', 'Minutes Played': '346', 'Dribbles (Completed %)': '7 (43%)', 'Duels Won': '20', 'Aerial Duels Won': '7', 'Total Tackles': '6', 'Interceptions': '2', 'Blocks': '1', 'Red Cards': '0', 'Yellow Cards': '0', 'Fouls': '2', 'Offsides': '1'}"
Samuel Amissah,Both,07/03/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Both', 'Date of Birth': '07/03/2007', 'Red Cards': '0', 'Yellow Cards': '0'}"
Sam Amo-Ameyaw,Left,18/07/2006,2 (2),0,0,2,0.13,2 (50%),0,7,1,26,3,0,0,1,0,0,0,1,1,0,"{'Nationality': 'England', 'Preferred Foot': 'Left', 'Date of Birth': '18/07/2006', 'Appearances (Sub)': '2 (2)', 'XG': '0.02', 'XA': '0.13', 'Touches in the Opposition Box': '2', 'Crosses (Completed %)': '2 (50%)', 'Passes': '7', 'Corners Taken': '1', 'Minutes Played': '26', 'Duels Won': '3', 'Total Tackles': '1', 'Red Cards': '0', 'Yellow Cards': '1', 'Fouls': '1'}"
Mathis Amougou,Right,18/01/2006,1 (1),0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'France', 'Preferred Foot': 'Right', 'Date of Birth': '18/01/2006', 'Appearances (Sub)': '1 (1)', 'XA': '0', 'Passes': '7', 'Minutes Played': '7', 'Red Cards': '0', 'Yellow Cards': '0'}"
Ato Ampah,Right,22/04/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '22/04/2006'}"
Sofyan Amrabat,Right,21/08/1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Morocco', 'Preferred Foot': 'Right', 'Date of Birth': '21/08/1996'}"
Joseph Anang,08/06/2000,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Date of Birth': '08/06/2000'}"
Joachim Andersen,Right,31/05/1996,30,0,0,9,0.52,2,22,"2,054 (83%)",444 (47%),"2,663",5 (80%),123,76,28,34,28,1,7,20,1,"{'Nationality': 'Denmark', 'Preferred Foot': 'Right', 'Date of Birth': '31/05/1996', 'Appearances': '30', 'XG': '1.02', 'XA': '0.52', 'Shots On Target Inside the Box': '9', 'Shots On Target Outside the Box': '2', 'Touches in the Opposition Box': '22', 'Crosses (Completed %)': '13 (23%)', 'Passes (Completed %)': '2,054 (83%)', 'Long Passes (Completed %)': '444 (47%)', 'Corners Taken': '1', 'Minutes Played': '2,663', 'Dribbles (Completed %)': '5 (80%)', 'Duels Won': '123', 'Aerial Duels Won': '76', 'Total Tackles': '28', 'Interceptions': '34', 'Blocks': '28', 'Red Cards': '1', 'Yellow Cards': '7', 'Fouls': '20', 'Own Goals': '1'}"
Elliot Anderson,Right,06/11/2002,37 (4),2,6,3.63,2.11,15,10,"1,289 (82%)",106 (42%),"2,742",66 (55%),242,57,92,31,9,0,10,49,4,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '06/11/2002', 'Appearances (Sub)': '37 (4)', 'Goals': '2', 'Assists': '6', 'XG': '2.11', 'XA': '3.63', 'Shots On Target Inside the Box': '15', 'Shots On Target Outside the Box': '10', 'Touches in the Opposition Box': '80', 'Crosses (Completed %)': '35 (6%)', 'Passes (Completed %)': '1,289 (82%)', 'Long Passes (Completed %)': '106 (42%)', 'Corners Taken': '48', 'Minutes Played': '2,742', 'Dribbles (Completed %)': '66 (55%)', 'Duels Won': '242', 'Aerial Duels Won': '57', 'Total Tackles': '92', 'Interceptions': '31', 'Blocks': '9', 'Red Cards': '0', 'Yellow Cards': '10', 'Fouls': '49', 'Offsides': '4'}"
Vincent Angelini,12/09/2003,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Scotland', 'Date of Birth': '12/09/2003'}"
Tino Anjorin,23/11/2001,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Date of Birth': '23/11/2001'}"
Aarón Anselmino,Right,29/04/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Argentina', 'Preferred Foot': 'Right', 'Date of Birth': '29/04/2005', 'Red Cards': '0', 'Yellow Cards': '0'}"
Jaidon Anthony,Right,01/12/1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '01/12/1999', 'Red Cards': '0', 'Yellow Cards': '0'}"
Michail Antonio,Right,28/03/1990,14 (3),1,1,0.93,2.22,8,37,154 (71%),22 (77%),844,22 (41%),35,17,2,0,0,0,1,12,4,"{'Nationality': 'Jamaica', 'Preferred Foot': 'Right', 'Date of Birth': '28/03/1990', 'Appearances (Sub)': '14 (3)', 'Goals': '1', 'Assists': '1', 'XG': '2.22', 'XA': '0.93', 'Shots On Target Inside the Box': '8', 'Touches in the Opposition Box': '37', 'Hit Woodwork': '1', 'Crosses (Completed %)': '25 (8%)', 'Passes (Completed %)': '154 (71%)', 'Long Passes (Completed %)': '22 (77%)', 'Minutes Played': '844', 'Dribbles (Completed %)': '22 (41%)', 'Duels Won': '35', 'Aerial Duels Won': '17', 'Total Tackles': '2', 'Red Cards': '0', 'Yellow Cards': '1', 'Fouls': '12', 'Offsides': '4'}"
Genesis Antwi,Right,11/05/2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Sweden', 'Preferred Foot': 'Right', 'Date of Birth': '11/05/2007', 'Red Cards': '0', 'Yellow Cards': '0'}"
Joelinton,Right,14/08/1996,29,4,3,2.33,3.95,19,4,"1,010 (84%)",31 (52%),"2,404",43 (35%),166,59,57,23,7,0,10,58,7,"{'Nationality': 'Brazil', 'Preferred Foot': 'Right', 'Date of Birth': '14/08/1996', 'Appearances': '29', 'Goals': '4', 'Assists': '3', 'XG': '3.95', 'XA': '2.33', 'Shots On Target Inside the Box': '19', 'Shots On Target Outside the Box': '4', 'Touches in the Opposition Box': '86', 'Crosses (Completed %)': '16 (19%)', 'Passes (Completed %)': '1,010 (84%)', 'Long Passes (Completed %)': '31 (52%)', 'Minutes Played': '2,404', 'Dribbles (Completed %)': '43 (35%)', 'Duels Won': '166', 'Aerial Duels Won': '59', 'Total Tackles': '57', 'Interceptions': '23', 'Blocks': '7', 'Red Cards': '0', 'Yellow Cards': '10', 'Fouls': '58', 'Offsides': '7'}"
Julián Araujo,Right,13/08/2001,12 (5),0,0,9 (22%),2,0,0,191 (82%),19 (32%),497,15,3,0,10,6,0,0,2,7,1,"{'Nationality': 'Mexico', 'Preferred Foot': 'Right', 'Date of Birth': '13/08/2001', 'Appearances (Sub)': '12 (5)', 'XA': '0.1', 'Touches in the Opposition Box': '2', 'Crosses (Completed %)': '9 (22%)', 'Passes (Completed %)': '191 (82%)', 'Long Passes (Completed %)': '19 (32%)', 'Minutes Played': '497', 'Duels Won': '15', 'Aerial Duels Won': '3', 'Total Tackles': '10', 'Interceptions': '6', 'Red Cards': '0', 'Yellow Cards': '2', 'Fouls': '7', 'Offsides': '1'}"
Cameron Archer,Right,09/12/2001,35 (22),2,0,0.73,5.72,16,57,247 (83%),6 (50%),"1,432",35 (43%),50,9,13,2,1,0,0,16,8,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '09/12/2001', 'Appearances (Sub)': '35 (22)', 'Goals': '2', 'XG': '5.72', 'XA': '0.73', 'Shots On Target Inside the Box': '16', 'Touches in the Opposition Box': '57', 'Penalties Taken': '1', 'Hit Woodwork': '3', 'Passes (Completed %)': '247 (83%)', 'Long Passes (Completed %)': '6 (50%)', 'Minutes Played': '1,432', 'Dribbles (Completed %)': '35 (43%)', 'Duels Won': '50', 'Aerial Duels Won': '9', 'Total Tackles': '13', 'Interceptions': '2', 'Blocks': '1', 'Red Cards': '0', 'Yellow Cards': '0', 'Fouls': '16', 'Offsides': '8'}"
Alphonse Areola,Right,27/02/1993,26 (1),41,4,0,0,0,0,865 (66%),438 (37%),0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'France', 'Preferred Foot': 'Right', 'Date of Birth': '27/02/1993', 'Appearances (Sub)': '26 (1)', 'Goals Conceded': '41', 'Clean Sheets': '4', 'Saves Made': '82', 'Passes (Completed %)': '865 (66%)', 'Long Passes (Completed %)': '438 (37%)', 'Red Cards': '0', 'Yellow Cards': '0'}"
