player_name,preferred_foot,date_of_birth,appearances_sub,goals,assists,xa,xg,touches_in_opposition_box,crosses_completed,pass_accuracy,long_pass_accuracy,minutes_played,dribbles_completed,duels_won,aerial_duels_won,total_tackles,interceptions,blocks,red_cards,yellow_cards,fouls,offsides,all_stats_on_page
Bruno Guimarães,Right,16/11/1997,38,5,6,5.39,4.31,9,10,"1,758 (84%)",162 (53%),"3,282",61 (56%),243,19,83,29,10,0,7,65,2,"{'Nationality': 'Brazil', 'Preferred Foot': 'Right', 'Date of Birth': '16/11/1997', 'Appearances': '38', 'Goals': '5', 'Assists': '6', 'XG': '4.31', 'XA': '5.39', 'Shots On Target Inside the Box': '9', 'Shots On Target Outside the Box': '10', 'Touches in the Opposition Box': '90', 'Hit Woodwork': '1', 'Crosses (Completed %)': '18 (33%)', 'Passes (Completed %)': '1,758 (84%)', 'Long Passes (Completed %)': '162 (53%)', 'Corners Taken': '5', 'Minutes Played': '3,282', 'Dribbles (Completed %)': '61 (56%)', 'Duels Won': '243', 'Aerial Duels Won': '19', 'Total Tackles': '83', 'Interceptions': '29', 'Blocks': '10', 'Red Cards': '0', 'Yellow Cards': '7', 'Fouls': '65', 'Offsides': '2'}"
Marc Guiu,Left,04/01/2006,3 (3),0,0,0,3,0,0,16 (69%),0,71,1,0,0,1,0,0,0,0,0,0,"{'Nationality': 'Spain', 'Preferred Foot': 'Left', 'Date of Birth': '04/01/2006', 'Appearances (Sub)': '3 (3)', 'XA': '0.02', 'Touches in the Opposition Box': '3', 'Passes (Completed %)': '16 (69%)', 'Minutes Played': '71', 'Duels Won': '1', 'Total Tackles': '1', 'Red Cards': '0', 'Yellow Cards': '0'}"
Luca Gunter,23/03/2005,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Date of Birth': '23/03/2005'}"
Malo Gusto,Right,19/05/2003,32 (13),1,0,2,1.94,9,44,"1,214 (89%)",72 (54%),"1,858",15 (27%),78,9,45,24,8,0,4,20,2,"{'Nationality': 'France', 'Preferred Foot': 'Right', 'Date of Birth': '19/05/2003', 'Appearances (Sub)': '32 (13)', 'Assists': '1', 'XG': '1.7', 'XA': '1.94', 'Shots On Target Inside the Box': '2', 'Shots On Target Outside the Box': '9', 'Touches in the Opposition Box': '44', 'Crosses (Completed %)': '53 (19%)', 'Passes (Completed %)': '1,214 (89%)', 'Long Passes (Completed %)': '72 (54%)', 'Minutes Played': '1,858', 'Dribbles (Completed %)': '15 (27%)', 'Duels Won': '78', 'Aerial Duels Won': '9', 'Total Tackles': '45', 'Interceptions': '24', 'Blocks': '8', 'Red Cards': '0', 'Yellow Cards': '4', 'Fouls': '20', 'Offsides': '2'}"
Marc Guéhi,Right,13/07/2000,34,3,2,2.01,1.98,8,2,"1,741 (84%)",247 (46%),"3,059",14 (86%),168,69,61,28,23,1,7,24,1,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '13/07/2000', 'Appearances': '34', 'Goals': '3', 'Assists': '2', 'XG': '1.98', 'XA': '2.01', 'Shots On Target Inside the Box': '8', 'Shots On Target Outside the Box': '2', 'Touches in the Opposition Box': '40', 'Crosses (Completed %)': '13 (23%)', 'Passes (Completed %)': '1,741 (84%)', 'Long Passes (Completed %)': '247 (46%)', 'Minutes Played': '3,059', 'Dribbles (Completed %)': '14 (86%)', 'Duels Won': '168', 'Aerial Duels Won': '69', 'Total Tackles': '61', 'Interceptions': '28', 'Blocks': '23', 'Red Cards': '1', 'Yellow Cards': '7', 'Fouls': '24', 'Offsides': '1', 'Own Goals': '3'}"
Josko Gvardiol,Left,23/01/2002,37 (1),5,0,2.91,4.59,12,5,"2,528 (91%)",127 (54%),"3,279",39 (64%),164,54,58,44,20,0,2,16,3,"{'Nationality': 'Croatia', 'Preferred Foot': 'Left', 'Date of Birth': '23/01/2002', 'Appearances (Sub)': '37 (1)', 'Goals': '5', 'XG': '4.59', 'XA': '2.91', 'Shots On Target Inside the Box': '12', 'Shots On Target Outside the Box': '5', 'Touches in the Opposition Box': '104', 'Hit Woodwork': '2', 'Crosses (Completed %)': '22 (14%)', 'Passes (Completed %)': '2,528 (91%)', 'Long Passes (Completed %)': '127 (54%)', 'Minutes Played': '3,279', 'Dribbles (Completed %)': '39 (64%)', 'Duels Won': '164', 'Aerial Duels Won': '54', 'Total Tackles': '58', 'Interceptions': '44', 'Blocks': '20', 'Red Cards': '0', 'Yellow Cards': '2', 'Fouls': '16', 'Offsides': '3'}"
Sergio Gómez,Left,04/09/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Spain', 'Preferred Foot': 'Left', 'Date of Birth': '04/09/2000'}"
Diego Gómez,Right,27/03/2003,16 (12),1,0,1.15,0.87,11,2 (2),289 (82%),13 (38%),512,12 (50%),40,10,21,8,0,0,0,8,1,"{'Nationality': 'Paraguay', 'Preferred Foot': 'Right', 'Date of Birth': '27/03/2003', 'Appearances (Sub)': '16 (12)', 'Goals': '1', 'XG': '0.87', 'XA': '1.15', 'Touches in the Opposition Box': '11', 'Free Kicks Scored (Scored)': '2 (2)', 'Crosses (Completed %)': '5 (20%)', 'Passes (Completed %)': '289 (82%)', 'Long Passes (Completed %)': '13 (38%)', 'Corners Taken': '6', 'Minutes Played': '512', 'Dribbles (Completed %)': '12 (50%)', 'Duels Won': '40', 'Aerial Duels Won': '10', 'Total Tackles': '21', 'Interceptions': '8', 'Red Cards': '0', 'Yellow Cards': '0', 'Fouls': '8', 'Offsides': '1'}"
Ilkay Gündogan,Right,24/10/1990,33 (8),1,6,4.44,3.23,4,10,"1,634 (92%)",75 (69%),"2,227",33 (52%),83,14,25,13,0,0,1,15,1,"{'Nationality': 'Germany', 'Preferred Foot': 'Right', 'Date of Birth': '24/10/1990', 'Appearances (Sub)': '33 (8)', 'Goals': '1', 'Assists': '6', 'XG': '3.23', 'XA': '4.44', 'Shots On Target Inside the Box': '4', 'Shots On Target Outside the Box': '10', 'Touches in the Opposition Box': '72', 'Hit Woodwork': '2', 'Free Kicks Scored (Scored)': '2 (2)', 'Crosses (Completed %)': '17 (12%)', 'Passes (Completed %)': '1,634 (92%)', 'Long Passes (Completed %)': '75 (69%)', 'Corners Taken': '46', 'Minutes Played': '2,227', 'Dribbles (Completed %)': '33 (52%)', 'Duels Won': '83', 'Aerial Duels Won': '14', 'Total Tackles': '25', 'Interceptions': '13', 'Red Cards': '0', 'Yellow Cards': '1', 'Fouls': '15', 'Offsides': '1'}"
Erling Haaland,Left,21/07/2000,31,22,3,2.02,22.01,49,5,375 (67%),3 (67%),"2,741",33 (39%),94,57,11,5,1,0,2,24,4,"{'Nationality': 'Norway', 'Preferred Foot': 'Left', 'Date of Birth': '21/07/2000', 'Appearances': '31', 'Goals': '22', 'Assists': '3', 'XG': '22.01', 'XA': '2.02', 'Shots On Target Inside the Box': '49', 'Shots On Target Outside the Box': '5', 'Touches in the Opposition Box': '204', 'Penalties Taken (Scored)': '4 (3)', 'Hit Woodwork': '4', 'Free Kicks Scored (Scored)': '1 (1)', 'Crosses (Completed %)': '3 (33%)', 'Passes (Completed %)': '375 (67%)', 'Long Passes (Completed %)': '3 (67%)', 'Minutes Played': '2,741', 'Dribbles (Completed %)': '33 (39%)', 'Duels Won': '94', 'Aerial Duels Won': '57', 'Total Tackles': '11', 'Interceptions': '5', 'Blocks': '1', 'Red Cards': '0', 'Yellow Cards': '2', 'Fouls': '24', 'Offsides': '4'}"
Lewis Hall,Left,08/09/2004,27 (3),4,0,3,3.73,51,43 (21%),"1,313 (85%)",113 (50%),"2,192",18 (61%),120,30,58,18,18,0,3,9,1,"{'Nationality': 'England', 'Preferred Foot': 'Left', 'Date of Birth': '08/09/2004', 'Appearances (Sub)': '27 (3)', 'Assists': '4', 'XG': '0.41', 'XA': '3.73', 'Shots On Target Outside the Box': '3', 'Touches in the Opposition Box': '51', 'Crosses (Completed %)': '43 (21%)', 'Passes (Completed %)': '1,313 (85%)', 'Long Passes (Completed %)': '113 (50%)', 'Corners Taken': '55', 'Minutes Played': '2,192', 'Dribbles (Completed %)': '18 (61%)', 'Duels Won': '120', 'Aerial Duels Won': '30', 'Total Tackles': '58', 'Interceptions': '18', 'Blocks': '18', 'Red Cards': '0', 'Yellow Cards': '3', 'Fouls': '9', 'Offsides': '1'}"
Tyrese Hall,04/09/2005,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Date of Birth': '04/09/2005'}"
Micah Hamilton,Right,13/11/2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '13/11/2003'}"
Malachi Hardy,Right,10/03/2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '10/03/2008', 'Red Cards': '0', 'Yellow Cards': '0'}"
Marcus Harness,Right,24/02/1996,2 (2),0,0,0,3,0,0,16 (63%),0,43,1,0,0,1,1,0,0,0,1,0,"{'Nationality': 'Ireland', 'Preferred Foot': 'Right', 'Date of Birth': '24/02/1996', 'Appearances (Sub)': '2 (2)', 'XA': '0.05', 'Touches in the Opposition Box': '3', 'Passes (Completed %)': '16 (63%)', 'Minutes Played': '43', 'Duels Won': '1', 'Total Tackles': '1', 'Blocks': '1', 'Red Cards': '0', 'Yellow Cards': '0', 'Offsides': '1'}"
Luke Harris,Right,04/03/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Wales', 'Preferred Foot': 'Right', 'Date of Birth': '04/03/2005'}"
Aidan Harris,Left,16/12/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Left', 'Date of Birth': '16/12/2006'}"
Archie Harris,Left,27/12/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Left', 'Date of Birth': '27/12/2004', 'Red Cards': '0', 'Yellow Cards': '0'}"
Jack Harrison,Left,20/11/1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Left', 'Date of Birth': '20/11/1996'}"
Alfie Harrison,28/11/2005,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Date of Birth': '28/11/2005'}"
Elyh Harrison,Right,19/02/2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '19/02/2006', 'Red Cards': '0', 'Yellow Cards': '0'}"
Ollie Harrison,07/08/2007,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Date of Birth': '07/08/2007'}"
Adam Harrison,20/10/2006,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Date of Birth': '20/10/2006'}"
Taylor Harwood-Bellis,Right,30/01/2002,34 (2),1,0,0.67,1.79,12,43,"2,124 (88%)",197 (51%),"2,828",108,63,0,28,30,43,0,9,35,0,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '30/01/2002', 'Appearances (Sub)': '34 (2)', 'Goals': '1', 'XG': '1.79', 'XA': '0.67', 'Shots On Target Inside the Box': '12', 'Touches in the Opposition Box': '43', 'Crosses (Completed %)': '10 (10%)', 'Passes (Completed %)': '2,124 (88%)', 'Long Passes (Completed %)': '197 (51%)', 'Minutes Played': '2,828', 'Duels Won': '108', 'Aerial Duels Won': '63', 'Total Tackles': '28', 'Interceptions': '30', 'Blocks': '43', 'Red Cards': '0', 'Yellow Cards': '9', 'Fouls': '35'}"
Kortney Hause,Left,16/07/1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Left', 'Date of Birth': '16/07/1995'}"
Kai Havertz,Left,11/06/1999,23 (2),9,3,1.67,9.56,20,113,501 (80%),5 (20%),"1,874",33 (27%),111,65,16,6,4,0,5,38,14,"{'Nationality': 'Germany', 'Preferred Foot': 'Left', 'Date of Birth': '11/06/1999', 'Appearances (Sub)': '23 (2)', 'Goals': '9', 'Assists': '3', 'XG': '9.56', 'XA': '1.67', 'Shots On Target Inside the Box': '20', 'Touches in the Opposition Box': '113', 'Crosses (Completed %)': '11 (18%)', 'Passes (Completed %)': '501 (80%)', 'Long Passes (Completed %)': '5 (20%)', 'Minutes Played': '1,874', 'Dribbles (Completed %)': '33 (27%)', 'Duels Won': '111', 'Aerial Duels Won': '65', 'Total Tackles': '16', 'Interceptions': '6', 'Blocks': '4', 'Red Cards': '0', 'Yellow Cards': '5', 'Fouls': '38', 'Offsides': '14'}"
Isaac Hayden,Right,22/03/1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Jamaica', 'Preferred Foot': 'Right', 'Date of Birth': '22/03/1995'}"
Chanse Headman,03/06/2005,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Date of Birth': '03/06/2005'}"
Isaac Heath,Right,28/10/2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '28/10/2004', 'Red Cards': '0', 'Yellow Cards': '0'}"
Tom Heaton,Right,15/04/1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '15/04/1986', 'Red Cards': '0', 'Yellow Cards': '0'}"
Ayden Heaven,Left,22/09/2006,4 (2),0,0,0,0,0,0,105 (86%),7 (43%),171,4 (50%),12,2,4,4,2,0,1,4,0,"{'Nationality': 'England', 'Preferred Foot': 'Left', 'Date of Birth': '22/09/2006', 'Appearances (Sub)': '4 (2)', 'Touches in the Opposition Box': '3', 'Passes (Completed %)': '105 (86%)', 'Long Passes (Completed %)': '7 (43%)', 'Minutes Played': '171', 'Dribbles (Completed %)': '4 (50%)', 'Duels Won': '12', 'Aerial Duels Won': '2', 'Total Tackles': '4', 'Interceptions': '4', 'Blocks': '2', 'Red Cards': '0', 'Yellow Cards': '1', 'Fouls': '4'}"
Cathal Heffernan,Right,27/04/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Ireland', 'Preferred Foot': 'Right', 'Date of Birth': '27/04/2005'}"
Krisztián Hegyi,Right,24/09/2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Hungary', 'Preferred Foot': 'Right', 'Date of Birth': '24/09/2002'}"
Karl Hein,Right,13/04/2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Estonia', 'Preferred Foot': 'Right', 'Date of Birth': '13/04/2002'}"
Dean Henderson,Right,12/03/1997,38,51,11,1 (50%),2,0,0,"1,100 (57%)",637 (27%),0,3,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '12/03/1997', 'Appearances': '38', 'Goals Conceded': '51', 'Clean Sheets': '11', 'Saves Made': '104', 'Penalties Faced': '2', 'Penalties Saved (%)': '1 (50%)', 'Passes (Completed %)': '1,100 (57%)', 'Long Passes (Completed %)': '637 (27%)', 'Red Cards': '0', 'Yellow Cards': '3'}"
Jeff Hendrick,Right,31/01/1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Ireland', 'Preferred Foot': 'Right', 'Date of Birth': '31/01/1992'}"
Wayne Hennessey,Right,24/01/1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Wales', 'Preferred Foot': 'Right', 'Date of Birth': '24/01/1987', 'Red Cards': '0', 'Yellow Cards': '0'}"
Rico Henry,Left,08/07/1997,5 (5),0,0,0,1,0,0,37 (68%),0,94,6,2,0,2,1,1,0,0,2,0,"{'Nationality': 'England', 'Preferred Foot': 'Left', 'Date of Birth': '08/07/1997', 'Appearances (Sub)': '5 (5)', 'XA': '0.01', 'Touches in the Opposition Box': '1', 'Passes (Completed %)': '37 (68%)', 'Minutes Played': '94', 'Duels Won': '6', 'Aerial Duels Won': '2', 'Total Tackles': '2', 'Interceptions': '1', 'Blocks': '1', 'Red Cards': '0', 'Yellow Cards': '0', 'Fouls': '2'}"
Jack Henry-Francis,23/09/2003,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Ireland', 'Date of Birth': '23/09/2003', 'Red Cards': '0', 'Yellow Cards': '0'}"
Mads Hermansen,Right,11/07/2000,27,58,1,1 (25%),4,0,0,936 (56%),537 (27%),0,1,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Denmark', 'Preferred Foot': 'Right', 'Date of Birth': '11/07/2000', 'Appearances': '27', 'Goals Conceded': '58', 'Clean Sheets': '1', 'Saves Made': '103', 'Penalties Faced': '4', 'Penalties Saved (%)': '1 (25%)', 'Passes (Completed %)': '936 (56%)', 'Long Passes (Completed %)': '537 (27%)', 'Red Cards': '0', 'Yellow Cards': '1'}"
Travis Hernes,Right,04/11/2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Norway', 'Preferred Foot': 'Right', 'Date of Birth': '04/11/2005'}"
Rodri,Right,22/06/1996,3 (2),0,0,0,0,0,0,68 (94%),0,73,5,1,0,2,1,0,0,0,1,0,"{'Nationality': 'Spain', 'Preferred Foot': 'Right', 'Date of Birth': '22/06/1996', 'Appearances (Sub)': '3 (2)', 'XA': '0.09', 'Passes (Completed %)': '68 (94%)', 'Minutes Played': '73', 'Duels Won': '5', 'Aerial Duels Won': '1', 'Total Tackles': '2', 'Interceptions': '1', 'Red Cards': '0', 'Yellow Cards': '0', 'Fouls': '1'}"
Finlay Herrick,18/01/2006,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Date of Birth': '18/01/2006'}"
Jaden Heskey,17/12/2005,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Date of Birth': '17/12/2005'}"
Reigan Heskey,19/01/2008,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Date of Birth': '19/01/2008'}"
Aaron Hickey,Both,10/06/2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Scotland', 'Preferred Foot': 'Both', 'Date of Birth': '10/06/2002', 'Red Cards': '0', 'Yellow Cards': '0'}"
Tom Hill,Right,13/10/2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Wales', 'Preferred Foot': 'Right', 'Date of Birth': '13/10/2002'}"
James Hill,Right,10/01/2002,10 (4),1,0,8,0.26,0,0,205 (72%),36 (19%),448,2 (50%),35,15,15,9,0,0,1,7,0,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '10/01/2002', 'Appearances (Sub)': '10 (4)', 'Assists': '1', 'XG': '0.29', 'XA': '0.26', 'Touches in the Opposition Box': '8', 'Passes (Completed %)': '205 (72%)', 'Long Passes (Completed %)': '36 (19%)', 'Minutes Played': '448', 'Dribbles (Completed %)': '2 (50%)', 'Duels Won': '35', 'Aerial Duels Won': '15', 'Total Tackles': '15', 'Interceptions': '9', 'Red Cards': '0', 'Yellow Cards': '1', 'Fouls': '7'}"
Jack Hinchy,30/01/2003,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'England', 'Date of Birth': '30/01/2003'}"
Jack Hinshelwood,Right,11/04/2005,26 (4),5,2,1.5,2.67,7,36,943 (85%),72 (47%),"1,846",10 (20%),58,20,27,16,3,0,5,18,0,"{'Nationality': 'England', 'Preferred Foot': 'Right', 'Date of Birth': '11/04/2005', 'Appearances (Sub)': '26 (4)', 'Goals': '5', 'Assists': '2', 'XG': '2.67', 'XA': '1.5', 'Shots On Target Inside the Box': '7', 'Touches in the Opposition Box': '36', 'Crosses (Completed %)': '15 (20%)', 'Passes (Completed %)': '943 (85%)', 'Long Passes (Completed %)': '72 (47%)', 'Corners Taken': '8', 'Minutes Played': '1,846', 'Dribbles (Completed %)': '10 (20%)', 'Duels Won': '58', 'Aerial Duels Won': '20', 'Total Tackles': '27', 'Interceptions': '16', 'Blocks': '3', 'Red Cards': '0', 'Yellow Cards': '5', 'Fouls': '18'}"
George Hirst,Right,15/02/1999,26 (21),3,1,0.27,2.13,29,3 (33%),118 (58%),0,649,5 (40%),49,32,3,2,1,0,3,13,3,"{'Nationality': 'Scotland', 'Preferred Foot': 'Right', 'Date of Birth': '15/02/1999', 'Appearances (Sub)': '26 (21)', 'Goals': '3', 'Assists': '1', 'XG': '2.13', 'XA': '0.27', 'Touches in the Opposition Box': '29', 'Crosses (Completed %)': '3 (33%)', 'Passes (Completed %)': '118 (58%)', 'Minutes Played': '649', 'Dribbles (Completed %)': '5 (40%)', 'Duels Won': '49', 'Aerial Duels Won': '32', 'Total Tackles': '3', 'Interceptions': '2', 'Blocks': '1', 'Red Cards': '0', 'Yellow Cards': '3', 'Fouls': '13', 'Offsides': '3'}"
Václav Hladky,Right,14/11/1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Czech Republic', 'Preferred Foot': 'Right', 'Date of Birth': '14/11/1990'}"
Joe Hodge,Right,14/09/2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{'Nationality': 'Ireland', 'Preferred Foot': 'Right', 'Date of Birth': '14/09/2002'}"
